Sample ID,Date,Survey,Site,Source,PO4,SiO2,NO3+NO2,Lat,Long
NUT9857,2018-04-01,RVRS,DFO5,M,1.572,33.491,20.331,51.6773,-127.3122
NUT9858,2018-04-01,RVRS,DFO5,M,1.684,34.914,20.973,51.6773,-127.3122
NUT9859,2018-04-01,RVRS,DFO5,M,1.982,43.732,25.112,51.6773,-127.3122
NUT9860,2018-04-01,RVRS,DFO5,M,2.198,50.684,27.718,51.6773,-127.3122
NUT9861,2018-04-01,RVRS,DFO5,M,2.328,51.844,28.196,51.6773,-127.3122
NUT9888,2018-04-26,RVRS,DFO5,M,0.356,25.143,4.268,51.6773,-127.3122
NUT9889,2018-04-26,RVRS,DFO5,M,1.033,26.281,12.073,51.6773,-127.3122
NUT9890,2018-04-26,RVRS,DFO5,M,1.489,30.279,18.029,51.6773,-127.3122
NUT9891,2018-04-26,RVRS,DFO5,M,1.617,32.790,19.672,51.6773,-127.3122
NUT9892,2018-04-26,RVRS,DFO5,M,1.666,34.247,20.350,51.6773,-127.3122
NUT9893,2018-04-26,RVRS,DFO5,M,1.697,34.807,20.605,51.6773,-127.3122
NUT9894,2018-04-26,RVRS,DFO5,M,1.971,41.904,24.017,51.6773,-127.3122
NUT9895,2018-04-26,RVRS,DFO5,M,2.152,47.510,25.773,51.6773,-127.3122
NUT9896,2018-04-26,RVRS,DFO5,M,2.199,48.807,26.289,51.6773,-127.3122
NUT10014,2018-04-29,FZH,FZH01,M,0.017,0.000,0.102,51.6394,-127.8958
NUT10015,2018-04-29,FZH,FZH01,M,0.149,2.655,0.869,51.6394,-127.8958
NUT10016,2018-04-29,FZH,FZH01,M,1.281,22.566,13.325,51.6394,-127.8958
NUT10017,2018-04-29,FZH,FZH01,M,1.646,32.581,20.130,51.6394,-127.8958
NUT10018,2018-04-29,FZH,FZH01,M,1.974,42.236,25.511,51.6394,-127.8958
NUT8439,2017-05-17,FZH,FZH01,M,0.048,2.673,0.128,51.6394,-127.8958
NUT8440,2017-05-17,FZH,FZH01,M,0.308,7.974,2.836,51.6394,-127.8958
NUT8441,2017-05-17,FZH,FZH01,M,0.624,12.698,6.568,51.6394,-127.8958
NUT8442,2017-05-17,FZH,FZH01,M,0.970,19.287,10.472,51.6394,-127.8958
NUT8443,2017-05-17,FZH,FZH01,M,1.224,25.047,13.865,51.6394,-127.8958
NUT8444,2017-05-17,FZH,FZH01,M,1.506,32.775,19.285,51.6394,-127.8958
NUT8445,2017-05-17,FZH,FZH01,M,1.460,35.592,19.481,51.6394,-127.8958
NUT8446,2017-05-17,FZH,FZH01,M,1.784,40.104,21.634,51.6394,-127.8958
NUT8447,2017-05-17,FZH,FZH01,M,1.783,41.098,22.000,51.6394,-127.8958
NUT8542,2017-06-08,FZH,FZH01,M,0.003,6.031,0.186,51.6394,-127.8958
NUT8543,2017-06-08,FZH,FZH01,M,1.136,21.690,13.589,51.6394,-127.8958
NUT8544,2017-06-08,FZH,FZH01,M,1.027,18.557,13.760,51.6394,-127.8958
NUT8545,2017-06-08,FZH,FZH01,M,1.078,21.657,13.681,51.6394,-127.8958
NUT8546,2017-06-08,FZH,FZH01,M,1.500,30.649,18.899,51.6394,-127.8958
NUT8547,2017-06-08,FZH,FZH01,M,1.747,36.464,21.413,51.6394,-127.8958
NUT8548,2017-06-08,FZH,FZH01,M,1.783,38.295,22.001,51.6394,-127.8958
NUT8549,2017-06-08,FZH,FZH01,M,1.910,41.210,24.525,51.6394,-127.8958
NUT8550,2017-06-08,FZH,FZH01,M,1.994,43.908,25.619,51.6394,-127.8958
NUT8617,2017-06-29,FZH,FZH01,M,0.007,0.068,0.157,51.6394,-127.8958
NUT8618,2017-06-29,FZH,FZH01,M,0.023,0.187,0.025,51.6394,-127.8958
NUT8619,2017-06-29,FZH,FZH01,M,0.786,12.637,7.384,51.6394,-127.8958
NUT8620,2017-06-29,FZH,FZH01,M,1.063,21.709,13.016,51.6394,-127.8958
NUT8621,2017-06-29,FZH,FZH01,M,1.221,23.808,14.155,51.6394,-127.8958
NUT8622,2017-06-29,FZH,FZH01,M,1.728,37.334,21.268,51.6394,-127.8958
NUT8623,2017-06-29,FZH,FZH01,M,1.862,40.663,23.533,51.6394,-127.8958
NUT8624,2017-06-29,FZH,FZH01,M,1.917,45.587,26.109,51.6394,-127.8958
NUT8625,2017-06-29,FZH,FZH01,M,1.954,46.240,26.982,51.6394,-127.8958
NUT8713,2017-07-19,FZH,FZH01,M,0.018,1.816,0.137,51.6394,-127.8958
NUT8714,2017-07-19,FZH,FZH01,M,0.030,0.493,0.053,51.6394,-127.8958
NUT8715,2017-07-19,FZH,FZH01,M,0.101,0.215,0.064,51.6394,-127.8958
NUT8716,2017-07-19,FZH,FZH01,M,1.208,25.824,15.616,51.6394,-127.8958
NUT8717,2017-07-19,FZH,FZH01,M,1.711,37.839,21.987,51.6394,-127.8958
NUT8718,2017-07-19,FZH,FZH01,M,1.853,43.271,24.098,51.6394,-127.8958
NUT8719,2017-07-19,FZH,FZH01,M,1.920,44.340,25.596,51.6394,-127.8958
NUT8720,2017-07-19,FZH,FZH01,M,2.238,52.681,29.131,51.6394,-127.8958
NUT8721,2017-07-19,FZH,FZH01,M,2.237,53.381,30.015,51.6394,-127.8958
NUT8887,2017-08-14,FZH,FZH01,M,0.000,0.235,0.192,51.6394,-127.8958
NUT8888,2017-08-14,FZH,FZH01,M,0.170,5.058,1.438,51.6394,-127.8958
NUT8889,2017-08-14,FZH,FZH01,M,0.838,16.301,9.019,51.6394,-127.8958
NUT8890,2017-08-14,FZH,FZH01,M,1.559,32.250,18.423,51.6394,-127.8958
NUT8891,2017-08-14,FZH,FZH01,M,1.721,37.480,21.746,51.6394,-127.8958
NUT8892,2017-08-14,FZH,FZH01,M,1.910,44.374,23.714,51.6394,-127.8958
NUT8893,2017-08-14,FZH,FZH01,M,2.119,47.770,27.456,51.6394,-127.8958
NUT8894,2017-08-14,FZH,FZH01,M,2.353,57.013,30.775,51.6394,-127.8958
NUT8895,2017-08-14,FZH,FZH01,M,2.293,56.837,31.188,51.6394,-127.8958
NUT8953,2017-08-31,FZH,FZH01,M,0.021,7.602,0.139,51.6394,-127.8958
NUT8954,2017-08-31,FZH,FZH01,M,1.300,32.816,16.076,51.6394,-127.8958
NUT8955,2017-08-31,FZH,FZH01,M,1.467,34.547,18.041,51.6394,-127.8958
NUT8956,2017-08-31,FZH,FZH01,M,1.312,31.023,17.310,51.6394,-127.8958
NUT8957,2017-08-31,FZH,FZH01,M,1.537,33.355,18.791,51.6394,-127.8958
NUT8958,2017-08-31,FZH,FZH01,M,2.004,47.383,26.166,51.6394,-127.8958
NUT8959,2017-08-31,FZH,FZH01,M,2.263,52.783,29.494,51.6394,-127.8958
NUT8960,2017-08-31,FZH,FZH01,M,2.378,59.198,31.302,51.6394,-127.8958
NUT8961,2017-08-31,FZH,FZH01,M,2.170,56.790,31.416,51.6394,-127.8958
NUT9434,2017-09-21,FZH,FZH01,M,1.015,28.992,11.146,51.6394,-127.8958
NUT9435,2017-09-21,FZH,FZH01,M,1.148,28.977,12.221,51.6394,-127.8958
NUT9436,2017-09-21,FZH,FZH01,M,1.208,27.149,12.483,51.6394,-127.8958
NUT9437,2017-09-21,FZH,FZH01,M,1.527,33.057,16.790,51.6394,-127.8958
NUT9438,2017-09-21,FZH,FZH01,M,1.737,35.319,19.284,51.6394,-127.8958
NUT9439,2017-09-21,FZH,FZH01,M,1.971,40.590,22.219,51.6394,-127.8958
NUT9440,2017-09-21,FZH,FZH01,M,2.325,49.781,26.493,51.6394,-127.8958
NUT9441,2017-09-21,FZH,FZH01,M,2.411,55.189,28.306,51.6394,-127.8958
NUT9442,2017-09-21,FZH,FZH01,M,2.431,57.195,28.219,51.6394,-127.8958
NUT9524,2017-10-12,FZH,FZH01,M,1.320,32.951,14.306,51.6394,-127.8958
NUT9525,2017-10-12,FZH,FZH01,M,1.347,33.129,14.485,51.6394,-127.8958
